,text,stars
1,"@pizzalibretto
I booked a large group here for my Wedding Rehearsal dinner. I wanted something that had a private-ish area for our group, but had character and good food!

We ended up booking an area downstairs with tall bar tables and stools. There were also other private dining rooms you can book out as well. When I was planning this, it was super easy. They have a $30 per person set menu that comes with an antipasto plate with appetizers and cured meats and cheeses. Then I could choose from their menu any pizza I wanted which they will determine the number that are made and come out based on 3-4 slices a person. 
It also includes dessert which they also determined on the day, but there was TONS of food and LOTS of leftovers. 
I could also pre-order wine which was a great suggestion as then with the group people could just state ""white"" or ""red"" and it was ready to go. You only pay for what you drink. 

The servers were friendly, and was really good at adjusting the price based on the number of people that did not show up. 
I loved that the resto was able to overall just make you pay for what you eat without over charging. 

I've never been to Libretto before, but love that they have unique pizza choices, all that were very good. My favourite was the Spicy Sausage pizza. (as opposed to the house made sausage). The Duck Confit was good too but didn't have enough taste for me. 
For apps, they gave us a bunch of food, but the most memorable was the Gnocchi and we couldn't stop eating it. 
For dessert, we got the infamous tiramisu which was amazing.

There is also an option for Spelt Crust!",5
2,AMAZING!! I got a reasonable quote and they came the next day.   Not only did they pick up my junk but they swept up any debris around the area.   Very professional and friendly.   Will use them again for sure.,5
4,I have been going here for years and expect a student massage. Last week I went because I was in so much back pain. I got lucky and had Willie Reese as my student therapist. He hit so many tiger points I was pain free all week. I returned this week for 2 hours with Willie and OMG.....painfully but very rewarding. I have never been treated better. I am out of pain!!!!!,5
6,"Just returned from a fabulous anniversary trip to Las Vegas. We booked a fountain view room at the Bellagio and we were not disappointed, the lady at check in asked if we had a preference for floor and we told her to give us the best in her opinion, so we were placed on the 28th floor. The elevators are a thrill ride, LOL ZOOOOM! We walked in the room and WOW! The Eiffel tower at the Paris and the entire fountain area like a postcard!
 Best room I have every had in Vegas. Comfy bed and pillows, very clean and fully stocked (but pricey) mini bar. LOL, But vending and ice was just up the hall. 
Casino was fun. better class of folks for the most part, but still a party atmosphere. Actually didnt do too bad and came home with winnings! 
WE do tip well, so we had some really good bell & valet service. Really not sure why anyone would complain, unless nothing pleases them. It was one of the best experiences I have had traveling, and the place is JUST GORGEOUS!! The flowers alone are worth the visit! 
The resort is not for folks who want to get stupid and loud, head to hard Rock if thats your thing. It does have that high end elegance that many casinos and hotels are missing in town.
Also if you LOVE high end shopping ( even if its just the window variety) you can spend a day inside and around the resort. its located in a fun spot on the strip. The money they didnt get at slots I spent at Giardini for beautiful Italian ceramics! Better than a cheap T-shirt, LOL.
Then there is Jean Phillipes Patisserie, with the giant chocolate fountain. Not just decadent sweets, but great Panini and crepes for lunch, and we made it our go to for coffee and Brioche for breakfast. Grab something and go sit by the pool with the paper ( Only for guests) .
Awesome dinner on your checklist? We chose Le Cirque at the Bellagio.  If French food is your thing,and you like to dress to impress, its one of the best. The service was amazing, the decor & the plates were wonderful and the food Gourmet. They helped me arrange a surprise for our anniversary and presented the table with a Beautiful cake from Jean Phillipes in our anniversary colors! 5 star+ to their whole team!!
I cant wait to return again!!!",5
9,"Just the patio I've been looking for: delicious sandwiches, homemade fries, fresh salads, cold beer, and a convivial atmosphere.",5
11,"At first glance Ecletica home seemed to be overwhelming but upon walking in you are greeted cheerfully and offered help and told about any sales or specials going on. 
The windchimes in the front are gorgeous! And there are so many different things, if you really take the time to look you could be in each room a while! The best part is they have new stuff added all the time. They aren't a brand new store they do consignment but also have some new.. But hey one mans trash might be another's treasure! 
I love the vases I bought and the entryway table. All around great experience!",5
12,Unbelievable. Especially for the cheap price. My fiancé and I make an effort to come here every time we drive through Vegas. It's so delicious!,5
15,The prefix brunch menu was unexpected but delightful. Each item was brought to us and it was delicious. The service was friendly and the ambience was just right for our annual girls trip to Vegas. We felt like we were treating ourselves to the nice life.,5
16,"My friend and I were just shopping around (I love to daydream about completely remodeling my house) and even though it was probably obvious that we weren't ready to buy, Brandon was still very nice and helpful with all of our many questions. I love the no-pressure sales of this place. It felt like he was less of a sales guy and more like a friend who just happens to know everything about their furniture. When I do need stuff this is the place to go and Brandon is the guy to see. The cookies and popcorn are great too!",5
17,"I needed some help on making better choices for food.  This is actually really GOOD FOOD that I don't feel guilty eating.  Another benefit is that it actually costs me far less than eating out everyday.  So, in short I eat better tasting food for less money, and it just happens to be healthier.  I look forward to using this service for the long haul....",5
18,The bruschetta is really good. Service is great. Everything had great flavour. Underrated restaurant. Recommended for a date night or just a night out with the family.,5
