,text,stars
393646,Got the breakfast sandwich with home fries both of which were great. Only reason I didn't give 4 stars is slow service as the place was busy and the ice coffee was just ok slightly watery,3
2655435,"@pizzalibretto
I booked a large group here for my Wedding Rehearsal dinner. I wanted something that had a private-ish area for our group, but had character and good food!

We ended up booking an area downstairs with tall bar tables and stools. There were also other private dining rooms you can book out as well. When I was planning this, it was super easy. They have a $30 per person set menu that comes with an antipasto plate with appetizers and cured meats and cheeses. Then I could choose from their menu any pizza I wanted which they will determine the number that are made and come out based on 3-4 slices a person. 
It also includes dessert which they also determined on the day, but there was TONS of food and LOTS of leftovers. 
I could also pre-order wine which was a great suggestion as then with the group people could just state ""white"" or ""red"" and it was ready to go. You only pay for what you drink. 

The servers were friendly, and was really good at adjusting the price based on the number of people that did not show up. 
I loved that the resto was able to overall just make you pay for what you eat without over charging. 

I've never been to Libretto before, but love that they have unique pizza choices, all that were very good. My favourite was the Spicy Sausage pizza. (as opposed to the house made sausage). The Duck Confit was good too but didn't have enough taste for me. 
For apps, they gave us a bunch of food, but the most memorable was the Gnocchi and we couldn't stop eating it. 
For dessert, we got the infamous tiramisu which was amazing.

There is also an option for Spelt Crust!",5
5084035,AMAZING!! I got a reasonable quote and they came the next day.   Not only did they pick up my junk but they swept up any debris around the area.   Very professional and friendly.   Will use them again for sure.,5
1616140,"Disclaimer: 
I'm not a tea expert. I don't own a diffuser. I prefer my tea iced and plain because, frankly, I'm sweet enough. 

In search of the ever elusive 'thoughtful' Christmas gift for my picky sister I stopped in at Fleur de Teas in the hopes of finding something special. I wasn't disappointed. 

The shop, located next to the Phoenix City Grille, is small and cozy. Don't let the size fool you, this small spot is bursting at the seams with a huge variety of tea, tea accessories and beauty products. 

The staff was friendly and very helpful, walking me through several different varieties of tea until I found exactly what I was looking for. Needless to say, the gift was a hit (and very reasonably priced). 

I'm not a tea expert, but Fleur de Teas makes me want to be. I'll be back!",4
173185,I have been going here for years and expect a student massage. Last week I went because I was in so much back pain. I got lucky and had Willie Reese as my student therapist. He hit so many tiger points I was pain free all week. I returned this week for 2 hours with Willie and OMG.....painfully but very rewarding. I have never been treated better. I am out of pain!!!!!,5
2493564,"First off let me start with 50 stars for Savino. Here's my story: so I had an account with cox for 8 years. During this time it was a constant bill goes up every year and you have to call and fight your way down to where you were before. I got to the point where their ""loyalty dept"" could no longer work with me as I was an ""existing client"". I was told they could no longer offer me promotions. After 8 years really?? So I cancelled my service. After a month of homework on other company's I found out they have a monopoly in Las Vegas and pretty much are the only good internet company here. Basically we are in their hands.
I spoke to an IT friend and he recommended me buying my own modem and router, then going to just connect service. I went in and explained my situation. Savino was very nice and understanding of the hell I just went through with their company. Not only did he manage to reconnect my service, but gave me a way better deal then their stupid ""loyalty dept"". Please save yourself the headache of calling and come in to speak to these guys. They seem to have more brain and customer service than their whole ""loyalty dept"" put together. Great job team!!",3
3846675,"Just returned from a fabulous anniversary trip to Las Vegas. We booked a fountain view room at the Bellagio and we were not disappointed, the lady at check in asked if we had a preference for floor and we told her to give us the best in her opinion, so we were placed on the 28th floor. The elevators are a thrill ride, LOL ZOOOOM! We walked in the room and WOW! The Eiffel tower at the Paris and the entire fountain area like a postcard!
 Best room I have every had in Vegas. Comfy bed and pillows, very clean and fully stocked (but pricey) mini bar. LOL, But vending and ice was just up the hall. 
Casino was fun. better class of folks for the most part, but still a party atmosphere. Actually didnt do too bad and came home with winnings! 
WE do tip well, so we had some really good bell & valet service. Really not sure why anyone would complain, unless nothing pleases them. It was one of the best experiences I have had traveling, and the place is JUST GORGEOUS!! The flowers alone are worth the visit! 
The resort is not for folks who want to get stupid and loud, head to hard Rock if thats your thing. It does have that high end elegance that many casinos and hotels are missing in town.
Also if you LOVE high end shopping ( even if its just the window variety) you can spend a day inside and around the resort. its located in a fun spot on the strip. The money they didnt get at slots I spent at Giardini for beautiful Italian ceramics! Better than a cheap T-shirt, LOL.
Then there is Jean Phillipes Patisserie, with the giant chocolate fountain. Not just decadent sweets, but great Panini and crepes for lunch, and we made it our go to for coffee and Brioche for breakfast. Grab something and go sit by the pool with the paper ( Only for guests) .
Awesome dinner on your checklist? We chose Le Cirque at the Bellagio.  If French food is your thing,and you like to dress to impress, its one of the best. The service was amazing, the decor & the plates were wonderful and the food Gourmet. They helped me arrange a surprise for our anniversary and presented the table with a Beautiful cake from Jean Phillipes in our anniversary colors! 5 star+ to their whole team!!
I cant wait to return again!!!",5
5327362,"I've visited on three separate occasions and feel as though both the food and service are consistently just okay. Not great, not terrible.",3
4642997,There's really nothing too exciting about this airport. There are decent food options but the carpet is hard to walk on and to roll the luggage on. The staff was very nice and I appreciate that they are very military-friendly. I just think the cleanliness of the bathrooms could have been better and the carpets just need to go!,3
3469592,"Just the patio I've been looking for: delicious sandwiches, homemade fries, fresh salads, cold beer, and a convivial atmosphere.",5
5078168,"This is a 2 star Shoppers location but the extra star is for the parking lot, the only one downtown that had one that I have found.

Limited selection, not well stocked as others have said and definitely not a location for cosmetics, just go a little south west to the location on Jarvis south of the St Lawrence market, that location has all the high end makeup.

I think a lot of these issues are due to the location.",3
2096261,"At first glance Ecletica home seemed to be overwhelming but upon walking in you are greeted cheerfully and offered help and told about any sales or specials going on. 
The windchimes in the front are gorgeous! And there are so many different things, if you really take the time to look you could be in each room a while! The best part is they have new stuff added all the time. They aren't a brand new store they do consignment but also have some new.. But hey one mans trash might be another's treasure! 
I love the vases I bought and the entryway table. All around great experience!",5
5295467,Unbelievable. Especially for the cheap price. My fiancé and I make an effort to come here every time we drive through Vegas. It's so delicious!,5
1298994,"On a recent rainy Sunday, we popped in to this place for a late lunch.  We were all in the mood for something warm and soothing...why not Pho?!?!?

The lean beef Pho was tasty and hearty, with a light broth.  The dish came with a fried spring roll and a nice side salad (with traditional dressing) that was tangy and bright.  We also shared a crab Rangoon appetizer.  They were small and served with the same dipping sauce (sweet chili) as the spring rolls.

Pleasant and attentive servers, along with a steaming bowl of soup made for a very comforting meal.",4
226224,"Food is a solid 3*s
Another one bonus star for customer service


I'm no Chinese gourmet expert, I'm just saying my tongue likes it okay. 


Note:  their delivery coverage is pretty extensive",4
3223744,The prefix brunch menu was unexpected but delightful. Each item was brought to us and it was delicious. The service was friendly and the ambience was just right for our annual girls trip to Vegas. We felt like we were treating ourselves to the nice life.,5
295550,"My friend and I were just shopping around (I love to daydream about completely remodeling my house) and even though it was probably obvious that we weren't ready to buy, Brandon was still very nice and helpful with all of our many questions. I love the no-pressure sales of this place. It felt like he was less of a sales guy and more like a friend who just happens to know everything about their furniture. When I do need stuff this is the place to go and Brandon is the guy to see. The cookies and popcorn are great too!",5
5700508,"I needed some help on making better choices for food.  This is actually really GOOD FOOD that I don't feel guilty eating.  Another benefit is that it actually costs me far less than eating out everyday.  So, in short I eat better tasting food for less money, and it just happens to be healthier.  I look forward to using this service for the long haul....",5
328490,The bruschetta is really good. Service is great. Everything had great flavour. Underrated restaurant. Recommended for a date night or just a night out with the family.,5
2293919,"I am big on Food Safety and when I see food safety violations (especially when someone else is cooking my food), I feel propelled to say something. I stopped by here and placed my order. The female taking my order called another employee over who was on the line cooking the food to help her with a cash register issue. The employee stop making the food, walked over and started handling the money and pressing buttons on the cash register. I ordered through the drive through so I can see how nasty the monitor was on the cash register. 

The female that finished handling the cash register issues went back to make the food without exchanging gloves. I said something immediately and to my surprise the original cashier clerk defended her action as if she was scared to correct her. This happens in the workplace a lot. People see others violating rules and dont say anything to ""keep the peace"". 
I was sooo mad, I told the cashier ""Forget it"" I dont want this food and drove off not even negotiating my refund. 

I have eaten here many of time and had great experiences. I just had to post this so the whomever is in charge can round up the employees and remind them about Food Safety and not be to lazy to wash their hands or change gloves when touching other things away from the food prepping line. Customers are watching.",1
5745638,This was my first time going to the dentist and I'm so happy I stumbled upon this place. Dr. Irene Han was so nice and informative. Looking forward to my next visit.,5
2599455,"Loved our dinner here. My octopus starter was cooked so well, pastas and pizzas were all delicious. Service is a little frosty but the food makes up for it.",4
1273985,Very loud music but it was worth it for the fabulous nicely priced sushi! Fun wait staff and great fast service. The TIGER ROLE was amazing.,5
1880503,I travel all over Texas and have a favorite bbq food truck in Austin and now I have a place just as good in Phoenix. Now I understand how they have 5 stars with over 1700 reviews. I've bookmarked Little Miss BBQ and will be back.,5
5392341,"We arrived at 11:30am for lunch on a friday and it was already almost full. We got a table and quick friendly service. Food was delicious.  I tasted the signature curry, green curry chicken, pad Thai and chicken fried rice.",5
2816424,Excellent dealership! Great experience as usual.,5
1589730,"We go here as a family 2 or 3 times a month. We love it!  The service is always top-notch! The fideo soup that comes before the entree is delicious.  Food is excellent - always.  If you have any space for dessert, go for it!  They are all great - my favorite is the mango.",5
3305988,Came into the store today and came out with a cracked door handle. Then the staff themselves is extremely rude and tried to pin the issue with me! Do not waste your money with these guys!! Nothing but some crooks!,1
4427790,"One of my favs in the valley. Breakfast, lunch or dinner this place brings its A game! This place is a must try. The scallops and risotto are everything!",5
5476469,My Merlot was decent but the calamari was not. The calamari while had hints of Italian seasoning was bland and became soggy of the cooked vegetables that they had underneath it. Plus I think I found a fry or two with the vegetables. Also Lot 17 had some funky smells throughout the time that we were there. Service could have been better. I might return for drinks but only drinks.,2
5412776,Great place to eat korean barbecue. You can't go wrong. Friendly staff too. We'll be back.  AYCE for $16.99 is great...,5
4583209,"Not sure why there are so many negative reviews here. Let me point out a few things that matter when you enter a brand store like Canada Goose.
1. The material and the offerings this brand has for Winter wear is of no match to any other brand and hence the price does all the justice. It comes with a 10 year warranty, what else would you need.
2. Such stores are always jam packed and its very difficult for any sales associate to handle multiple at the same time. Yes, even if you deploy a soldier of sales men, its not enough for such a store
3. What they offer is promising and  they do no compromise on quality or safety when it comes to winter wear.
4. The sales associate 'Luna' was super sweet to us. Though it was the peek of season and super busy, she was kind enough to answer every question and took time to explain every detail of the varieties they had at the store.
I do not need to recommend this brand to anyone. Those who own this know the worth of it. It is indeed a life time investment worth every penny.",5
